year2,state,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,d_flag,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1977,20,44466,51782,683842,655567,8534,16.7,6944,13.6,159934,86853,73081,13.2,24.4,103384,44771,58613,6.8,15.8,56550,8.6,31.6,0,4706,4729,26825
1977,21,50186,58576,916744,885353,9711,16.8,7697,13.3,193491,73635,119856,8.3,21.9,130708,52001,78707,5.9,14.8,62783,7.1,29.6,0,5214,5226,31052
1977,22,58952,70029,1022023,992319,11802,17.3,8216,12,223320,96403,126917,9.7,22.5,163911,61750,102161,6.2,16.5,59409,6,33,0,5819,5852,37703
1977,23,18929,21673,292547,283875,3441,16.2,2749,12.9,59880,27020,32860,9.5,21.1,42535,16956,25579,6,15,17345,6.1,30,0,1756,1762,9457
1977,24,57557,68669,1126419,1112672,11007,16.4,8105,12,222740,87380,135360,7.9,20,195246,65776,129470,5.9,17.5,27494,2.5,35,0,5202,5223,33840
1977,25,93706,108715,1950437,1881581,14690,13.7,12039,11.2,389454,156633,232821,8.3,20.7,251741,104349,147392,5.5,13.4,137713,7.3,26.8,0,7820,7849,55353
1977,26,122826,147031,2718210,2620761,23171,16,18173,12.6,532694,198770,333924,7.6,20.3,337796,129324,208472,4.9,12.9,194898,7.4,25.8,0,11444,11516,71034
1977,27,65489,76960,1282711,1230894,12235,16.2,8977,11.9,282379,108577,173802,8.8,22.9,178745,73208,105537,5.9,14.5,103634,8.4,29,0,5779,5833,43594
1977,28,34771,40703,580973,560084,6881,17.2,5252,13.1,122810,48125,74685,8.6,21.9,81031,34706,46325,6.2,14.5,41779,7.4,29,0,3728,3754,22449
1977,29,79865,94772,1509107,1469236,15093,16.1,12456,13.3,296851,113532,183319,7.7,20.2,217108,89617,127491,6.1,14.8,79743,5.4,29.6,0,8281,8321,47534
1977,30,16633,18922,190971,178501,3670,20,2397,13.1,53808,23009,30799,12.9,30.1,28867,13323,15544,7.5,16.2,24941,13.9,32.4,0,1670,1675,9899
1977,31,31391,36091,473469,451602,5742,16.2,4374,12.3,116039,38510,77529,8.5,25.7,72305,29267,43038,6.5,16,43734,9.7,32,0,2971,2982,19346
1977,32,12872,14682,235292,224173,3258,23.1,2044,14.5,57171,24771,32400,11,25.5,34933,15357,19576,6.9,15.6,22238,9.9,31.2,0,1465,1469,9485
1977,33,16553,18449,262122,253772,3204,17.9,2063,11.5,51197,20146,31051,7.9,20.2,34497,14599,19898,5.8,13.6,16700,6.6,27.2,0,1400,1407,8623
1977,34,124638,141637,2299737,2258998,20677,14.8,17341,12.4,428101,178309,249792,7.9,19,346624,131558,215066,5.8,15.3,81477,3.7,30.6,0,11014,11057,63980
1977,35,20904,24176,274218,266415,4889,20.8,3459,14.7,67103,33274,33829,12.5,25.2,51497,22137,29360,8.3,19.3,15606,5.9,38.6,0,2421,2429,13603
1977,36,312227,353279,5536480,5434966,48067,13.7,44902,12.8,1044640,402075,642565,7.4,19.2,841611,323854,517757,6,15.5,203029,3.7,31,0,31294,31402,181801
1977,37,84511,102521,1750994,1719698,16734,16.7,12387,12.3,306589,132489,174100,7.7,17.8,243998,88097,155901,5.1,14.2,62591,3.6,28.4,0,8384,8412,51648
1977,38,13177,14917,149212,146646,2435,16.6,1871,12.8,29553,14237,15316,9.7,20.2,24420,10832,13588,7.4,16.7,5133,3.5,33.4,0,1170,1175,7566
1977,39,152029,189077,3541886,3436627,27571,14.8,21859,11.7,662140,255150,406990,7.4,19.3,451622,171098,280524,5,13.1,210518,6.2,26.2,0,13726,13812,90134
1977,40,50336,58471,746499,721654,10526,18.4,7817,13.7,165023,78333,86690,10.9,22.9,115332,50346,64986,7,16,49691,6.9,32,0,5626,5652,32495
1977,41,46565,54000,695771,672087,10970,20.9,7492,14.3,155633,71803,83830,10.7,23.2,108265,50465,57800,7.5,16.1,47368,7.1,32.2,0,4972,4997,30325
1977,42,174493,208707,3850306,3747564,28483,13.8,22690,11,710065,274187,435878,7.3,18.9,504582,183802,320780,4.9,13.5,205483,5.4,27,0,14433,14526,94367
1977,44,17573,19459,358031,324421,2770,14.4,2227,11.6,106314,18286,88028,5.6,32.8,39094,14848,24246,4.6,12.1,67220,20.7,24.2,0,1452,1462,7106
1977,45,42348,50173,839446,827937,8438,17.2,6094,12.4,136945,59698,77247,7.2,16.5,113927,41938,71989,5.1,13.8,23018,2.7,27.6,0,4204,4229,23887
1977,46,13882,15605,195310,171956,2501,16.2,2013,13.1,71785,25862,45923,15,41.7,25076,10499,14577,6.1,14.6,46709,27.1,29.2,0,1255,1255,6637
1977,47,65615,78338,1313122,1273560,13760,17.9,10117,13.2,267610,121560,146050,9.5,21,188486,74336,114150,5.8,14.8,79124,6.2,29.6,0,6941,6971,44016
1977,48,214505,263754,3989853,3845503,49803,19.4,34101,13.3,940603,434064,506539,11.3,24.5,651904,264045,387859,6.9,17,288699,7.5,34,0,23575,23750,157804
1977,49,21269,24554,356335,339655,5073,21.4,3305,14,92694,38733,53961,11.4,27.3,59333,26057,33276,7.7,17.5,33361,9.8,35,0,2147,2167,15813
1977,50,10485,11609,145067,139006,1914,16.9,1347,11.9,31309,13726,17583,9.9,22.5,19186,8799,10387,6.3,13.8,12123,8.7,27.6,0,909,912,4669
1977,51,72552,88154,1391486,1360683,14413,16.7,10720,12.4,282893,127378,155515,9.4,20.8,221288,79434,141854,5.8,16.3,61605,4.5,32.6,0,6985,7027,42951
1977,53,66226,77856,1027796,982351,15570,20.7,10117,13.4,242712,112311,130401,11.4,24.7,151821,65408,86413,6.7,15.5,90891,9.2,31,0,6565,6595,39509
1977,54,26551,30888,471881,459237,4779,15.7,3800,12.5,98590,41437,57153,9,21.5,73301,31646,41655,6.9,16,25289,5.5,32,0,2463,2478,13568
1977,55,75854,87660,1435284,1401243,13131,15.3,9807,11.4,238748,96695,142053,6.9,17,170665,69944,100721,5,12.2,68083,4.8,24.4,0,6219,6269,38462
1977,56,9659,10761,109297,102991,2260,21.9,1373,13.3,31498,15382,16116,14.9,30.6,18886,8866,10020,8.6,18.3,12612,12.3,36.6,0,926,928,6309
1978,01,54168,65096,1032199,994708,10260,16,8002,12.5,213066,72111,140955,7.2,21.4,138084,55224,82860,5.6,13.9,74982,7.5,27.8,0,5667,5688,30942
1978,02,6761,8010,110205,108602,1799,22.9,1484,18.9,36004,13069,22935,12,33.2,32797,15082,17715,13.9,30.2,3207,3,60.4,0,837,842,6987
1978,04,35147,43021,658047,630226,7743,17.8,8348,19.2,163005,60241,102764,9.6,25.9,107364,56864,50500,9,17,55641,8.9,34,0,4885,4931,28307
1978,05,33699,38928,563697,556487,5932,14.9,7208,18.1,107630,36140,71490,6.5,19.3,93210,47659,45551,8.6,16.7,14420,2.6,33.4,0,4419,4434,21675
1978,06,375003,452620,7242053,7022464,81007,18.2,66905,15,1681977,596335,1085642,8.5,24,1242798,528511,714287,7.5,17.7,439179,6.3,35.4,0,41450,41725,247948
1978,08,50226,59213,877002,843859,10793,18.1,11113,18.6,213074,73365,139709,8.7,25.2,146788,74935,71853,8.9,17.4,66286,7.8,34.8,0,6706,6740,38425
1978,09,55495,63208,1139761,1121703,8081,13,6271,10.1,192891,52710,140181,4.7,17.2,156775,63706,93069,5.7,14,36116,3.2,28,0,4291,4308,32288
1978,10,9701,11289,222953,223021,1455,12.8,1633,14.4,58970,9385,49585,4.2,26.4,59105,40838,18267,18.3,26.5,-135,-0.1,52.8,0,1231,1232,34224
1978,11,13227,15244,317327,307089,1950,12.9,1755,11.6,62539,16796,45743,5.5,20.4,42062,16725,25337,5.4,13.7,20477,6.7,27.4,0,1122,1138,8149
1978,12,159721,190761,2564420,2491389,35042,18.8,26327,14.1,620310,241170,379140,9.7,24.9,474247,190812,283435,7.7,19,146063,5.9,38,0,18883,18967,110612
1978,13,81041,98922,1615900,1554502,15577,16,12529,12.9,340752,116387,224365,7.5,21.9,217957,93045,124912,6,14,122795,7.9,28,0,8709,8746,52218
1978,15,15388,18557,275407,268253,2833,15.5,2190,12,56182,21978,34204,8.2,20.9,41873,20138,21735,7.5,15.6,14309,5.3,31.2,0,1405,1419,7582
1978,16,15632,18330,229891,243944,3062,16.5,3288,17.7,55173,21739,33434,8.9,22.6,83278,20769,62509,8.5,34.1,-28105,-11.5,45.2,0,1912,1921,9996
1978,17,178543,208502,4077209,3997676,27486,13.3,23997,11.6,711840,219052,492788,5.5,17.8,552773,201422,351351,5,13.8,159067,4,27.6,0,16387,16528,98513
1978,18,81021,97478,1829792,1768937,13090,13.6,10729,11.1,328339,90438,237901,5.1,18.6,206628,77489,129139,4.4,11.7,121711,6.9,23.4,0,7320,7361,40910
1978,19,56025,65568,876252,856849,8988,13.9,7426,11.5,158952,54955,103997,6.4,18.6,120145,41676,78469,4.9,14,38807,4.6,28,0,5339,5364,25468
1978,20,45724,53325,701191,691984,7850,14.9,6264,11.9,140147,51261,88886,7.4,20.3,121732,41566,80166,6,17.6,18415,2.7,35.2,0,4417,4430,23865
1978,21,51398,60188,956505,936461,9082,15.3,7408,12.5,183834,60162,123672,6.4,19.6,143745,60125,83620,6.4,15.3,40089,4.3,30.6,0,5233,5245,25056
1978,22,56705,68048,1108497,1062924,9461,13.7,10691,15.5,253610,74763,178847,7,23.9,162463,73187,89276,6.9,15.3,91147,8.6,30.6,0,6345,6371,36249
1978,23,19655,22500,309285,297080,3418,15.5,2533,11.5,62105,19027,43078,6.4,20.9,37694,14471,23223,4.9,12.7,24411,8.2,25.4,0,1807,1812,8329
1978,24,59019,70407,1175008,1150318,9599,13.8,7874,11.3,221323,69148,152175,6,19.2,171943,62982,108961,5.5,14.9,49380,4.3,29.8,0,5222,5244,29272
1978,25,95418,110492,2095657,2022855,13209,12.1,11451,10.4,398582,114895,283687,5.7,19.7,252978,110877,142101,5.5,12.5,145604,7.2,25,0,7618,7672,48507
1978,26,125933,150639,2886547,2793463,21107,14.2,17433,11.7,519810,166774,353036,6,18.6,333643,138606,195037,5,11.9,186167,6.7,23.8,0,11581,11637,69164
1978,27,67767,79558,1372682,1327630,11114,14.2,8496,10.9,285420,83671,201749,6.3,21.5,195315,67708,127607,5.1,14.7,90105,6.8,29.4,0,5870,5900,34237
1978,28,35073,41205,607804,594424,6185,15.1,5694,13.9,120034,42856,77178,7.2,20.2,93274,33980,59294,5.7,15.7,26760,4.5,31.4,0,3800,3811,17983
1978,29,81346,96711,1592801,1550852,14054,14.7,12019,12.6,310199,99056,211143,6.4,20,226300,93361,132939,6,14.6,83899,5.4,29.2,0,8268,8297,40896
1978,30,15956,18322,196839,193375,2890,15.5,3267,17.5,46716,16139,30577,8.3,24.2,39788,19624,20164,10.1,20.6,6928,3.6,41.2,0,1916,1920,9760
1978,31,32033,36894,481365,477295,5004,13.7,4157,11.4,98350,30239,68111,6.3,20.6,90209,33233,56976,7,18.9,8141,1.7,37.8,0,2951,2975,15148
1978,32,12572,14468,268367,251213,2841,19.5,2875,19.7,72802,25063,47739,10,29,38493,23286,15207,9.3,15.3,34309,13.7,30.6,0,1633,1637,11388
1978,33,17428,19426,295324,278607,3132,16.5,2141,11.3,65438,25241,40197,9.1,23.5,32004,13161,18843,4.7,11.5,33434,12,23,0,1528,1534,7214
1978,34,127081,144463,2401481,2348078,19059,13.3,16284,11.4,445123,137481,307642,5.9,19,338317,139931,198386,6,14.4,106806,4.6,28.8,0,10775,10816,58403
1978,35,19821,23243,293460,282983,3820,16.1,4419,18.6,73568,25533,48035,9,26,52614,29780,22834,10.5,18.6,20954,7.4,37.2,0,2715,2719,17516
1978,36,313062,353760,5767494,5662022,43751,12.4,43379,12.3,1102841,315152,787689,5.6,19.5,891896,353722,538174,6.2,15.8,210945,3.7,31.6,0,30832,30932,172072
1978,37,87640,106079,1854259,1799943,15728,15.1,12132,11.6,325298,108021,217277,6,18.1,216667,91530,125137,5.1,12,108631,6.1,24,0,8526,8562,43857
1978,38,13603,15383,163000,156069,2203,14.5,1709,11.3,33364,11304,22060,7.2,21.4,19501,8124,11377,5.2,12.5,13863,8.9,25,0,1189,1193,5327
1978,39,154897,192855,3668154,3603082,24430,12.8,20672,10.8,615564,178168,437396,4.9,17.1,485421,163584,321837,4.5,13.5,130143,3.6,27,0,13610,13667,71255
1978,40,47600,55988,775446,759417,8755,15.3,10543,18.4,163120,59579,103541,7.8,21.5,131061,71350,59711,9.4,17.3,32059,4.2,34.6,0,6344,6360,36622
1978,41,49114,56878,799944,747631,10748,19.4,7828,14.1,205497,69772,135725,9.3,27.5,100870,52049,48821,7,13.5,104627,14,27,0,5283,5301,27853
1978,42,176944,211614,3918918,3879649,25306,12,22355,10.6,694443,198829,495614,5.1,17.9,615904,235586,380318,6.1,15.9,78539,2,31.8,0,14774,14859,119050
1978,44,17892,19843,333586,345722,2499,12.7,2088,10.6,67642,20710,46932,6,19.6,91914,18484,73430,5.3,26.6,-24272,-7,39.2,0,1438,1440,7988
1978,45,43868,52112,913419,875944,8030,15.7,6095,11.9,172974,64901,108073,7.4,19.7,98024,39626,58398,4.5,11.2,74950,8.5,22.4,0,4392,4403,18593
1978,46,14365,16130,171051,182954,2415,15.2,1864,11.7,37322,12789,24533,7,20.4,61127,9076,52051,5,33.4,-23805,-13,40.8,0,1305,1306,5665
1978,47,67459,80407,1386606,1350566,12067,15.2,9967,12.6,271544,87492,184052,6.5,20.1,199464,78670,120794,5.8,14.8,72080,5.3,29.6,0,6950,6972,38450
1978,48,204020,254416,4209702,4089419,40567,15.7,46430,17.9,957194,326654,630540,8,23.4,716628,357495,359133,8.7,17.5,240566,5.9,35,0,26558,26702,174431
1978,49,20623,24015,376561,365349,4125,17,4355,17.9,85458,31944,53514,8.7,23.4,63033,31018,32015,8.5,17.3,22425,6.1,34.6,0,2401,2410,14870
1978,50,11078,12226,157550,151138,1913,16.1,1288,10.8,35925,13881,22044,9.2,23.8,23100,12244,10856,8.1,15.3,12825,8.5,30.6,0,961,968,4973
1978,51,75541,91681,1476758,1433692,13626,15.2,10060,11.2,285933,93808,192125,6.5,19.9,199800,82262,117538,5.7,13.9,86133,6,27.8,0,6880,6907,42339
1978,53,69558,81677,1199385,1113157,15023,18.8,11137,14,329364,104323,225041,9.4,29.6,156907,73594,83313,6.6,14.1,172457,15.5,28.2,0,7033,7057,40738
1978,54,26917,31297,453398,462161,4177,13.4,3756,12.1,72588,23609,48979,5.1,15.7,90115,24020,66095,5.2,19.5,-17527,-3.8,31.4,0,2478,2484,11280
1978,55,78852,91036,1545553,1489387,12536,14,9124,10.2,271164,83921,187243,5.6,18.2,158834,67604,91230,4.5,10.7,112330,7.5,21.4,0,6361,6389,34761
1978,56,9470,10634,124356,116514,1984,18.5,1971,18.4,37200,13906,23294,11.9,31.9,21516,12265,9251,10.5,18.5,15684,13.4,37,0,1178,1180,6059
1979,01,54730,65955,1083112,1055982,9436,14.4,8106,12.4,219356,75192,144164,7.1,20.8,165095,64732,100363,6.1,15.6,54261,5.2,31.2,0,5899,5914,35731
1979,02,7058,8298,107880,108822,1804,22.1,1400,17.2,28914,11685,17229,10.7,26.6,30798,12091,18707,11.1,28.3,-1884,-1.7,53.2,0,904,907,5560
1979,04,40325,48734,768197,714182,9229,20.1,3881,8.5,201778,75771,126007,10.6,28.3,93748,31143,62605,4.4,13.1,108030,15.2,26.2,0,118,132,1452
1979,05,36633,41977,602544,583549,6430,15.9,3658,9,113655,43304,70351,7.4,19.5,75665,22603,53062,3.9,13,37990,6.5,26,0,66,73,2171
1979,06,397902,478672,7908786,7568239,89981,19.3,60626,13,1856481,720477,1136004,9.5,24.5,1175386,475544,699842,6.3,15.5,681095,9,31,0,41901,42089,257452
1979,08,56438,65644,985855,932493,12087,19.4,6051,9.7,234838,89746,145092,9.6,25.2,128113,47808,80305,5.1,13.7,106725,11.5,27.4,0,106,123,3424
1979,09,56971,64839,1210157,1174374,7968,12.4,6031,9.4,199513,62534,136979,5.3,17,127947,45613,82334,3.9,10.9,71566,6.1,21.8,0,4160,4167,21983
1979,10,9922,11562,204267,213347,1545,13.5,1203,10.5,31330,11430,19900,5.4,14.7,49489,8172,41317,3.8,23.2,-18159,-8.5,29.4,0,809,820,3978
1979,11,13368,15419,343909,330425,1872,12.2,1607,10.5,64478,14835,49643,4.5,19.5,37510,15052,22458,4.6,11.4,26968,8.1,22.8,0,1053,1054,6545
1979,12,167423,200091,2784206,2671506,35973,18.4,25357,13,657822,265284,392538,9.9,24.6,432422,182847,249575,6.8,16.2,225400,8.4,32.4,0,18717,18822,114510
1979,13,82563,101415,1697217,1656238,15322,15.3,12250,12.2,327931,125154,202777,7.6,19.8,245973,89695,156278,5.4,14.9,81958,4.9,29.8,0,8777,8797,46769
1979,15,16172,19545,299553,287811,3148,16.5,2052,10.8,64197,24331,39866,8.5,22.3,40713,15616,25097,5.4,14.1,23484,8.2,28.2,0,1398,1407,8575
1979,16,17198,20007,272999,252502,3259,17,1729,9,78745,48351,30394,19.1,31.2,37751,11796,25955,4.7,15,40994,16.2,30,0,33,34,369
1979,17,179478,210329,4256138,4163606,26460,12.6,23364,11.2,750179,235057,515122,5.6,18,565116,212717,352399,5.1,13.6,185063,4.4,27.2,0,16189,16242,99206
1979,18,81904,98946,1890281,1858703,12611,12.8,10611,10.8,306681,94981,211700,5.1,16.5,243526,79536,163990,4.3,13.1,63155,3.4,26.2,0,7566,7599,41438
1979,19,55826,65548,917685,896269,7941,12.1,7600,11.6,158850,52737,106113,5.9,17.7,116018,45603,70415,5.1,12.9,42832,4.8,25.8,0,5485,5546,26839
1979,20,46263,54040,745833,722802,7218,13.4,6219,11.6,145169,46496,98673,6.4,20.1,99106,39881,59225,5.5,13.7,46063,6.4,27.4,0,4448,4460,22021
1979,21,52229,61390,1010773,982930,8596,14.1,7006,11.5,196254,67028,129226,6.8,20,140567,51855,88712,5.3,14.3,55687,5.7,28.6,0,5151,5164,29037
1979,22,62363,74231,1215874,1165412,11200,15.7,5514,7.8,260822,89541,171281,7.7,22.4,159897,50712,109185,4.4,13.7,100925,8.7,27.4,0,57,76,1700
1979,23,19874,22803,316863,312846,3054,13.5,2590,11.4,53585,19386,34199,6.2,17.1,45551,15106,30445,4.8,14.6,8034,2.5,29.2,0,1844,1850,8580
1979,24,60029,71902,1229340,1201420,9756,13.7,7883,11.1,222563,73270,149293,6.1,18.5,166723,65363,101360,5.4,13.9,55840,4.6,27.8,0,5445,5480,29949
1979,25,96906,112318,2204948,2149249,13252,11.9,10914,9.8,386812,115994,270818,5.4,18,275415,88442,186973,4.1,12.8,111397,5.2,25.6,0,7506,7533,45723
1979,26,127979,153321,3063642,2985065,20204,13.3,16678,11,509811,160823,348988,5.4,17.1,352657,126469,226188,4.2,11.8,157154,5.3,23.6,0,11511,11570,69149
1979,27,69373,81497,1472406,1422387,10829,13.4,8499,10.6,283967,92124,191843,6.5,20,183931,66064,117867,4.6,12.9,100036,7.1,25.8,0,5920,5940,33403
1979,28,36186,42542,646372,626893,6614,15.8,4992,11.9,130446,45033,85413,7.2,20.8,91487,34492,56995,5.5,14.6,38959,6.2,29.2,0,3734,3745,19545
1979,29,82490,98170,1682200,1635903,13335,13.7,11340,11.6,306031,94849,211182,5.8,18.7,213436,81578,131858,5,13,92595,5.7,26,0,7979,8040,43086
1979,30,17673,20098,228065,212784,3324,17.3,1689,8.8,58211,19182,39029,9,27.4,27649,8756,18893,4.1,13,30562,14.4,26,0,20,20,221
1979,31,32331,37234,501202,490865,4608,12.4,4047,10.9,92976,28082,64894,5.7,18.9,72302,22789,49513,4.6,14.7,20674,4.2,29.4,0,2796,2802,12552
1979,32,14667,16788,321763,295553,3551,22.7,1366,8.7,90202,37943,52259,12.8,30.5,37782,13059,24723,4.4,12.8,52420,17.7,25.6,0,90,91,842
1979,33,17921,20047,320500,307687,2936,14.9,2196,11.1,63455,19477,43978,6.3,20.6,37828,14011,23817,4.6,12.3,25627,8.3,24.6,0,1577,1583,7407
1979,34,130213,148059,2506042,2452369,19551,13.4,15093,10.3,449384,150545,298839,6.1,18.3,342038,121555,220483,5,13.9,107346,4.4,27.8,0,10295,10322,56858
1979,35,22016,25590,327751,311227,4471,18.3,2309,9.5,78392,31773,46619,10.2,25.2,45343,16743,28600,5.4,14.6,33049,10.6,29.2,0,36,41,832
1979,36,314425,355506,5898843,5829407,43039,12.1,39583,11.2,1017967,316196,701771,5.4,17.5,879094,308833,570261,5.3,15.1,138873,2.4,30.2,0,28950,29064,162524
1979,37,89357,108599,1969001,1910551,15066,14,11909,11.1,338877,114582,224295,6,17.7,221977,85993,135984,4.5,11.6,116900,6.1,23.2,0,8614,8634,44753
1979,38,13973,15791,177763,170166,2263,14.5,1731,11.1,39171,14478,24693,8.5,23,23977,9423,14554,5.5,14.1,15194,8.9,28.2,0,1246,1247,6591
1979,39,156872,195658,3837565,3750740,23967,12.3,20219,10.4,624646,198112,426534,5.3,16.7,450995,168034,282961,4.5,12,173651,4.7,24,0,13348,13400,74907
1979,40,52568,61399,866447,821971,9984,17,4991,8.5,196298,71145,125153,8.7,23.9,107346,36967,70379,4.5,13.1,88952,10.8,26.2,0,91,98,1235
1979,41,51134,59275,872043,834609,10747,18.5,7874,13.6,213014,72124,140890,8.6,25.5,138145,52923,85222,6.3,16.6,74869,8.9,33.2,0,5680,5688,30102
1979,42,178595,214372,4007200,3960793,24802,11.6,21000,9.9,638406,188922,449484,4.8,16.1,545594,175270,370324,4.4,13.8,92812,2.3,27.6,0,14390,14461,78761
1979,44,18273,20277,342377,337806,2451,12.2,1917,9.6,58195,18715,39480,5.5,17.2,49052,14341,34711,4.2,14.5,9143,2.7,29,0,1340,1342,7370
1979,45,44350,53006,963403,938815,7374,14,6155,11.7,163572,51789,111783,5.5,17.4,114395,38282,76113,4.1,12.2,49177,5.2,24.4,0,4523,4557,22195
1979,46,14557,16417,185509,178064,2257,13.9,1868,11.5,39467,14858,24609,8.3,22.2,24577,9904,14673,5.6,13.8,14890,8.4,27.6,0,1327,1328,6139
1979,47,68306,81771,1457872,1421203,11986,14.8,10104,12.5,274564,96506,178058,6.8,19.3,201226,72814,128412,5.1,14.2,73338,5.1,28.4,0,7187,7199,38245
1979,48,228595,282055,4676929,4451203,47590,17.7,22228,8.3,1090434,419040,671394,9.4,24.5,638982,199521,439461,4.5,14.4,451452,10.1,28.8,0,308,381,9442
1979,49,23101,26722,412779,395122,4560,18,2025,8,91787,36997,54790,9.4,23.2,56473,17691,38782,4.5,14.3,35314,8.9,28.6,0,37,41,650
1979,50,11344,12557,164309,160819,1753,14.1,1360,11,30234,10357,19877,6.4,18.8,23254,8177,15077,5.1,14.5,6980,4.3,29,0,1040,1046,5397
1979,51,77100,93949,1551056,1512843,13106,14.1,10377,11.2,287580,99825,187755,6.6,19,211154,73657,137497,4.9,14,76426,5,28,0,7399,7422,37383
1979,53,72969,85408,1218194,1207327,15324,18.3,10892,13,287798,105212,182586,8.7,23.8,266064,98847,167217,8.2,22,21734,1.8,44,0,7480,7512,40436
1979,54,27284,31823,527199,489740,4349,13.8,3581,11.3,132296,28775,103521,5.9,27,57379,20845,36534,4.3,11.7,74917,15.3,23.4,0,2529,2536,10888
1979,55,80177,92794,1622099,1583678,11376,12.4,9199,10,259919,82724,177195,5.2,16.4,183078,63667,119411,4,11.6,76841,4.8,23.2,0,6444,6463,33301
1979,56,10651,11919,139310,132024,2227,19.7,1015,9,35853,15479,20374,11.7,27.2,21281,6545,14736,5,16.1,14572,11.1,32.2,0,25,26,272
1980,01,54494,65852,1080569,1080875,8630,13.1,8426,12.8,179368,61121,118247,5.7,16.6,179982,58053,121929,5.4,16.7,-614,-0.1,33.2,0,6072,6086,33755
1980,02,7082,8324,108319,107880,1477,17.8,1346,16.2,24253,8883,15370,8.2,22.5,23374,7888,15486,7.3,21.7,879,0.8,43.4,0,886,892,4606
1980,04,42362,51152,802680,784645,9389,18.8,6662,13.3,172945,72404,100541,9.2,22,136874,48731,88143,6.2,17.4,36071,4.6,34.8,0,4763,4775,28763
1980,05,36610,41952,620057,610998,5628,13.4,5457,13,112436,36084,76352,5.9,18.4,94317,31904,62413,5.2,15.4,18119,3,30.8,0,3971,3981,17746
1980,06,411314,494149,8242858,8070425,81844,16.8,63887,13.1,1724114,662641,1061473,8.2,21.4,1379247,509990,869257,6.3,17.1,344867,4.3,34.2,0,44372,44573,281515
